iter	Passed	Remaining
0	202	202162
1	259	129639
2	314	104664
3	370	92195
4	437	87140
5	496	82317
6	557	79112
7	617	76533
8	674	74292
9	730	72361
10	787	70761
11	841	69323
12	905	68742
13	959	67597
14	1015	66689
15	1110	68313
16	1277	73872
17	1334	72778
18	1381	71331
19	1428	69991
20	1478	68931
21	1528	67948
22	1579	67091
23	1623	66038
24	1670	65159
25	1722	64512
26	1780	64150
27	1843	63989
28	1901	63652
29	1960	63393
30	2017	63063
31	2088	63168
32	2158	63253
33	2215	62957
34	2267	62527
35	2326	62308
36	2387	62144
37	2442	61845
38	2485	61234
39	2533	60811
40	2583	60438
41	2642	60265
42	2702	60147
43	2763	60053
44	2815	59761
45	2863	59376
46	2912	59054
47	2967	58861
48	3038	58980
49	3100	58911
50	3156	58731
51	3214	58611
52	3266	58358
53	3316	58093
54	3366	57845
55	3426	57759
56	3486	57673
57	3541	57517
58	3596	57354
59	3647	57138
60	3705	57033
61	3764	56952
62	3820	56816
63	3880	56758
64	3939	56661
65	3993	56510
66	4047	56361
67	4114	56391
68	4170	56270
69	4232	56234
70	4293	56181
71	4352	56099
72	4412	56032
73	4468	55912
74	4531	55883
75	4584	55733
76	4636	55575
77	4691	55453
78	4745	55324
79	4801	55213
80	4861	55152
81	4927	55163
82	4988	55115
83	5041	54977
84	5093	54832
85	5151	54751
86	5208	54664
87	5265	54569
88	5322	54485
89	5378	54382
90	5440	54343
91	5498	54268
92	5558	54214
93	5614	54114
94	5669	54013
95	5726	53925
96	5784	53848
97	5840	53754
98	5890	53610
99	5948	53537
100	6002	53431
101	6056	53316
102	6113	53236
103	6179	53238
104	6256	53327
105	6311	53233
106	6369	53159
107	6422	53042
108	6475	52934
109	6529	52832
110	6590	52784
111	6644	52677
112	6699	52590
113	6755	52501
114	6817	52462
115	6875	52399
116	6933	52329
117	6989	52245
118	7050	52197
119	7110	52145
120	7167	52069
121	7219	51955
122	7290	51978
123	7356	51970
124	7426	51988
125	7478	51875
126	7532	51778
127	7584	51666
128	7643	51607
129	7706	51575
130	7757	51463
131	7816	51401
132	7869	51302
133	7923	51207
134	7974	51094
135	8034	51039
136	8094	50986
137	8153	50929
138	8210	50858
139	8260	50743
140	8314	50651
141	8372	50586
142	8432	50533
143	8507	50575
144	8561	50485
145	8620	50421
146	8672	50325
147	8729	50252
148	8780	50146
149	8835	50067
150	8886	49964
151	8946	49910
152	9010	49884
153	9062	49786
154	9112	49678
155	9163	49576
156	9216	49484
157	9268	49394
158	9325	49327
159	9384	49266
160	9457	49284
161	9521	49252
162	9584	49216
163	9638	49131
164	9690	49040
165	9739	48930
166	9792	48846
167	9849	48778
168	9905	48704
169	9960	48632
170	10018	48570
171	10080	48529
172	10139	48469
173	10195	48398
174	10249	48317
175	10300	48226
176	10353	48142
177	10408	48064
178	10467	48010
179	10522	47937
180	10591	47924
181	10664	47933
182	10721	47864
183	10776	47792
184	10828	47704
185	10884	47636
186	10935	47540
187	10994	47488
188	11048	47410
189	11105	47345
190	11161	47274
191	11214	47193
192	11273	47136
193	11329	47071
194	11386	47004
195	11443	46940
196	11500	46876
197	11563	46836
198	11614	46751
199	11672	46689
200	11729	46626
201	11785	46556
202	11839	46482
203	11892	46402
204	11946	46327
205	12001	46256
206	12058	46194
207	12120	46149
208	12171	46066
209	12229	46006
210	12287	45945
211	12348	45900
212	12405	45836
213	12457	45754
214	12511	45681
215	12567	45614
216	12651	45651
217	12715	45611
218	12776	45562
219	12832	45496
220	12884	45417
221	12942	45358
222	13004	45312
223	13063	45254
224	13117	45181
225	13173	45114
226	13230	45053
227	13286	44987
228	13338	44906
229	13396	44850
230	13457	44801
231	13513	44732
232	13569	44668
233	13618	44581
234	13679	44530
235	13733	44458
236	13812	44468
237	13876	44426
238	13930	44355
239	13986	44290
240	14038	44212
241	14090	44135
242	14145	44067
243	14197	43989
244	14255	43929
245	14314	43875
246	14378	43834
247	14433	43767
248	14492	43710
249	14549	43649
250	14602	43574
251	14656	43505
252	14715	43449
253	14778	43403
254	14834	43340
255	14910	43332
256	14964	43264
257	15014	43179
258	15068	43110
259	15125	43049
260	15183	42990
261	15240	42928
262	15296	42864
263	15354	42806
264	15410	42741
265	15476	42706
266	15533	42644
267	15589	42579
268	15638	42498
269	15692	42427
270	15744	42352
271	15803	42297
272	15858	42232
273	15913	42163
274	15974	42113
275	16028	42047
276	16087	41990
277	16145	41933
278	16199	41863
279	16257	41803
280	16305	41721
281	16356	41644
282	16408	41571
283	16464	41508
284	16516	41436
285	16570	41367
286	16622	41294
287	16680	41236
288	16738	41180
289	16796	41122
290	16856	41070
291	16909	40998
292	16971	40951
293	17042	40924
294	17102	40870
295	17160	40813
296	17220	40761
297	17276	40698
298	17335	40642
299	17392	40581
300	17449	40521
301	17500	40447
302	17559	40393
303	17621	40343
304	17678	40284
305	17734	40221
306	17789	40157
307	17844	40091
308	17908	40047
309	17970	39998
310	18024	39932
311	18079	39867
312	18132	39798
313	18189	39739
314	18248	39683
315	18312	39637
316	18363	39565
317	18417	39498
318	18466	39421
319	18520	39355
320	18573	39287
321	18633	39234
322	18702	39199
323	18758	39137
324	18819	39087
325	18880	39035
326	18932	38964
327	18987	38901
328	19043	38839
329	19103	38785
330	19159	38724
331	19221	38674
332	19280	38619
333	19333	38552
334	19384	38480
335	19438	38414
336	19494	38352
337	19547	38285
338	19600	38217
339	19654	38151
340	19708	38088
341	19769	38036
342	19829	37981
343	19892	37934
344	19945	37868
345	20000	37804
346	20068	37765
347	20123	37703
348	20175	37634
349	20232	37575
350	20293	37522
351	20349	37462
352	20405	37401
353	20463	37342
354	20518	37279
355	20569	37209
356	20619	37138
357	20677	37079
358	20728	37011
359	20779	36941
360	20834	36878
361	20891	36819
362	20945	36755
363	21010	36710
364	21066	36649
365	21143	36626
366	21195	36558
367	21251	36496
368	21301	36426
369	21350	36354
370	21402	36286
371	21455	36220
372	21509	36156
373	21564	36095
374	21620	36034
375	21675	35972
376	21733	35914
377	21794	35862
378	21854	35808
379	21910	35749
380	21968	35691
381	22027	35636
382	22099	35601
383	22155	35540
384	22215	35486
385	22275	35433
386	22342	35389
387	22399	35330
388	22457	35273
389	22513	35213
390	22569	35152
391	22625	35092
392	22688	35042
393	22750	34991
394	22800	34921
395	22851	34854
396	22907	34793
397	22960	34729
398	23020	34674
399	23084	34626
